|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      10 |        4000 |       07:06:57 |         0.58 |         0.65 |       0.1703 |       0.2126 |      1.0000e-04 |
|      10 |        4050 |       07:12:14 |         0.64 |         0.66 |       0.2072 |       0.2180 |      1.0000e-04 |
|      10 |        4100 |       07:17:33 |         0.65 |         0.66 |       0.2137 |       0.2197 |      1.0000e-04 |
|      10 |        4150 |       07:22:49 |         0.59 |         0.66 |       0.1725 |       0.2158 |      1.0000e-04 |
|      10 |        4200 |       07:28:05 |         0.51 |         0.65 |       0.1301 |       0.2129 |      1.0000e-04 |
|      10 |        4250 |       07:33:23 |         0.89 |         0.65 |       0.4003 |       0.2137 |      1.0000e-04 |
|      10 |        4300 |       07:38:41 |         0.63 |         0.65 |       0.1977 |       0.2083 |      1.0000e-04 |
|      10 |        4350 |       07:43:58 |         0.56 |         0.64 |       0.1559 |       0.2063 |      1.0000e-04 |
|      11 |        4400 |       07:49:13 |         0.66 |         0.65 |       0.2176 |       0.2097 |      1.0000e-04 |
|      11 |        4450 |       07:54:28 |         0.65 |         0.64 |       0.2139 |       0.2071 |      1.0000e-04 |
|      11 |        4500 |       07:59:43 |         0.63 |         0.65 |       0.1985 |       0.2117 |      1.0000e-04 |
|      11 |        4550 |       08:04:59 |         0.54 |         0.64 |       0.1460 |       0.2058 |      1.0000e-04 |
|      11 |        4600 |       08:10:15 |         0.53 |         0.64 |       0.1428 |       0.2035 |      1.0000e-04 |
|      11 |        4650 |       08:15:34 |         0.68 |         0.63 |       0.2293 |       0.1991 |      1.0000e-04 |
|      11 |        4700 |       08:20:51 |         0.63 |         0.64 |       0.1976 |       0.2020 |      1.0000e-04 |
|      11 |        4750 |       08:26:09 |         0.61 |         0.64 |       0.1876 |       0.2024 |      1.0000e-04 |
|      12 |        4800 |       08:31:29 |         0.56 |         0.64 |       0.1568 |       0.2033 |      1.0000e-04 |
|      12 |        4850 |       08:36:48 |         0.57 |         0.64 |       0.1599 |       0.2071 |      1.0000e-04 |
|      12 |        4900 |       08:42:03 |         0.55 |         0.62 |       0.1533 |       0.1951 |      1.0000e-04 |
|      12 |        4950 |       08:47:19 |         0.82 |         0.62 |       0.3386 |       0.1939 |      1.0000e-04 |
