|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      19 |        8100 |       17:31:54 |         0.89 |         0.85 |       0.3918 |       0.3608 |          0.0010 |
|      19 |        8150 |       17:38:18 |         0.72 |         0.80 |       0.2587 |       0.3233 |          0.0010 |
|      19 |        8200 |       17:44:38 |         0.78 |         0.79 |       0.3030 |       0.3138 |          0.0010 |
|      19 |        8250 |       17:51:01 |         0.96 |         0.81 |       0.4619 |       0.3258 |          0.0010 |
|      20 |        8300 |       17:57:22 |         0.85 |         0.83 |       0.3572 |       0.3452 |          0.0010 |
|      20 |        8350 |       18:03:46 |         0.66 |         0.80 |       0.2206 |       0.3161 |          0.0010 |
|      20 |        8400 |       18:10:13 |         0.62 |         0.78 |       0.1928 |       0.3042 |          0.0010 |
|      20 |        8450 |       18:16:39 |         0.65 |         0.78 |       0.2134 |       0.3053 |          0.0010 |
|      20 |        8500 |       18:23:00 |         0.59 |         0.76 |       0.1763 |       0.2924 |          0.0010 |
|      20 |        8550 |       18:29:20 |         0.61 |         0.80 |       0.1853 |       0.3239 |          0.0010 |
|      20 |        8600 |       18:35:42 |         0.62 |         0.76 |       0.1943 |       0.2894 |          0.0010 |
|      20 |        8650 |       18:42:05 |         0.78 |         0.74 |       0.3024 |       0.2730 |          0.0010 |
|      20 |        8700 |       18:48:26 |         0.56 |         0.78 |       0.1540 |       0.3039 |          0.0010 |
|      21 |        8750 |       18:54:47 |         0.70 |         0.80 |       0.2446 |       0.3165 |          0.0010 |
|      21 |        8800 |       19:01:07 |         0.60 |         0.74 |       0.1823 |       0.2736 |          0.0010 |
|      21 |        8850 |       19:07:26 |         0.63 |         0.78 |       0.1983 |       0.3059 |          0.0010 |
|      21 |        8900 |       19:13:46 |         0.56 |         0.72 |       0.1577 |       0.2573 |          0.0010 |
|      21 |        8950 |       19:20:05 |         0.61 |         0.72 |       0.1846 |       0.2587 |          0.0010 |
|      21 |        9000 |       19:26:25 |         0.61 |         0.73 |       0.1862 |       0.2692 |          0.0010 |
|      21 |        9050 |       19:32:43 |         0.66 |         0.69 |       0.2179 |       0.2385 |          0.0010 |
|      21 |        9100 |       19:39:01 |         0.88 |         0.72 |       0.3913 |       0.2565 |          0.0010 |
|      22 |        9150 |       19:45:22 |         0.53 |         0.76 |       0.1401 |       0.2898 |          0.0010 |
|      22 |        9200 |       19:51:44 |         0.62 |         0.71 |       0.1929 |       0.2542 |          0.0010 |
|      22 |        9250 |       19:58:05 |         0.67 |         0.68 |       0.2220 |       0.2340 |          0.0010 |
|      22 |        9300 |       20:04:28 |         0.68 |         0.70 |       0.2327 |       0.2427 |          0.0010 |
|      22 |        9350 |       20:10:51 |         0.54 |         0.69 |       0.1469 |       0.2383 |          0.0010 |
|      22 |        9400 |       20:17:13 |         0.61 |         0.71 |       0.1873 |       0.2507 |          0.0010 |
|      22 |        9450 |       20:23:36 |         0.58 |         0.70 |       0.1693 |       0.2440 |          0.0010 |
|      22 |        9500 |       20:30:02 |         0.57 |         0.71 |       0.1601 |       0.2519 |          0.0010 |
|      22 |        9550 |       20:36:25 |         0.54 |         0.68 |       0.1473 |       0.2326 |          0.0010 |
|      23 |        9600 |       20:42:47 |         0.49 |         0.65 |       0.1190 |       0.2096 |          0.0010 |
|      23 |        9650 |       20:49:08 |         0.52 |         0.65 |       0.1358 |       0.2135 |          0.0010 |
|      23 |        9700 |       20:55:28 |         0.49 |         0.65 |       0.1177 |       0.2119 |          0.0010 |
|      23 |        9750 |       21:01:46 |         0.71 |         0.67 |       0.2504 |       0.2273 |          0.0010 |
|      23 |        9800 |       21:08:04 |         0.55 |         0.66 |       0.1531 |       0.2154 |          0.0010 |
|      23 |        9850 |       21:14:24 |         0.61 |         0.63 |       0.1868 |       0.2008 |          0.0010 |
|      23 |        9900 |       21:20:45 |         0.55 |         0.65 |       0.1534 |       0.2084 |          0.0010 |
|      23 |        9950 |       21:27:10 |         0.54 |         0.66 |       0.1463 |       0.2201 |          0.0010 |
|      23 |       10000 |       21:33:30 |         0.72 |         0.66 |       0.2563 |       0.2151 |          0.0010 |
|      24 |       10050 |       21:39:54 |         0.54 |         0.65 |       0.1444 |       0.2096 |          0.0010 |
|      24 |       10100 |       21:46:16 |         0.54 |         0.68 |       0.1439 |       0.2297 |          0.0010 |
|      24 |       10150 |       21:52:39 |         0.58 |         0.63 |       0.1667 |       0.1988 |          0.0010 |
|      24 |       10200 |       21:59:02 |         0.54 |         0.63 |       0.1435 |       0.1999 |          0.0010 |
|      24 |       10250 |       22:05:24 |         0.54 |         0.64 |       0.1485 |       0.2079 |          0.0010 |
|      24 |       10300 |       22:11:50 |         0.52 |         0.63 |       0.1377 |       0.1961 |          0.0010 |
|      24 |       10350 |       22:18:15 |         0.48 |         0.65 |       0.1136 |       0.2085 |          0.0010 |
|      24 |       10400 |       22:24:37 |         0.50 |         0.64 |       0.1272 |       0.2052 |          0.0010 |
|      25 |       10450 |       22:30:58 |         0.55 |         0.66 |       0.1525 |       0.2200 |          0.0010 |
|      25 |       10500 |       22:37:15 |         0.50 |         0.65 |       0.1260 |       0.2106 |          0.0010 |
|      25 |       10550 |       22:43:36 |         0.53 |         0.63 |       0.1394 |       0.1957 |          0.0010 |
|      25 |       10600 |       22:49:54 |         0.52 |         0.64 |       0.1353 |       0.2039 |          0.0010 |
|      25 |       10650 |       22:56:16 |         0.56 |         0.61 |       0.1589 |       0.1845 |          0.0010 |
|      25 |       10700 |       23:02:38 |         0.81 |         0.61 |       0.3292 |       0.1843 |          0.0010 |
|      25 |       10750 |       23:08:57 |         0.76 |         0.63 |       0.2860 |       0.1972 |          0.0010 |
|      25 |       10800 |       23:15:18 |         0.55 |         0.61 |       0.1531 |       0.1876 |          0.0010 |
|      25 |       10850 |       23:21:36 |         0.53 |         0.64 |       0.1402 |       0.2038 |          0.0010 |
|      26 |       10900 |       23:27:59 |         0.54 |         0.63 |       0.1468 |       0.2006 |          0.0010 |
|      26 |       10950 |       23:34:20 |         0.53 |         0.66 |       0.1408 |       0.2177 |          0.0010 |
|      26 |       11000 |       23:40:42 |         0.53 |         0.60 |       0.1400 |       0.1778 |          0.0010 |
|      26 |       11050 |       23:47:05 |         0.57 |         0.62 |       0.1620 |       0.1946 |          0.0010 |
|      26 |       11100 |       23:53:29 |         0.73 |         0.63 |       0.2631 |       0.1979 |          0.0010 |
|      26 |       11150 |       23:59:55 |         0.85 |         0.62 |       0.3570 |       0.1911 |          0.0010 |
|      26 |       11200 |       24:06:17 |         0.49 |         0.61 |       0.1194 |       0.1838 |          0.0010 |
|      26 |       11250 |       24:12:39 |         0.52 |         0.62 |       0.1353 |       0.1936 |          0.0010 |
|      26 |       11300 |       24:19:02 |         0.55 |         0.62 |       0.1538 |       0.1895 |          0.0010 |
|      27 |       11350 |       24:25:28 |         0.51 |         0.63 |       0.1280 |       0.2002 |          0.0010 |
|      27 |       11400 |       24:31:50 |         0.48 |         0.61 |       0.1129 |       0.1861 |          0.0010 |
|      27 |       11450 |       24:38:13 |         0.57 |         0.59 |       0.1639 |       0.1753 |          0.0010 |
|      27 |       11500 |       24:44:35 |         0.79 |         0.62 |       0.3115 |       0.1909 |          0.0010 |
|      27 |       11550 |       24:51:05 |         0.58 |         0.63 |       0.1711 |       0.1995 |          0.0010 |
|      27 |       11600 |       24:57:27 |         0.55 |         0.60 |       0.1539 |       0.1823 |          0.0010 |
|      27 |       11650 |       25:03:50 |         0.52 |         0.62 |       0.1374 |       0.1925 |          0.0010 |
|      27 |       11700 |       25:10:15 |         0.46 |         0.58 |       0.1075 |       0.1676 |          0.0010 |
|      28 |       11750 |       25:16:37 |         0.46 |         0.58 |       0.1072 |       0.1701 |          0.0010 |
|      28 |       11800 |       25:23:03 |         0.58 |         0.59 |       0.1681 |       0.1727 |          0.0010 |
|      28 |       11850 |       25:29:29 |         0.50 |         0.60 |       0.1243 |       0.1796 |          0.0010 |
|      28 |       11900 |       25:35:56 |         0.47 |         0.57 |       0.1114 |       0.1606 |          0.0010 |
|      28 |       11950 |       25:42:18 |         0.58 |         0.60 |       0.1672 |       0.1829 |          0.0010 |
|      28 |       12000 |       25:48:44 |         0.50 |         0.64 |       0.1256 |       0.2050 |          0.0010 |
|      28 |       12050 |       25:55:10 |         0.45 |         0.60 |       0.1024 |       0.1777 |          0.0010 |
|      28 |       12100 |       26:01:35 |         0.67 |         0.58 |       0.2275 |       0.1689 |          0.0010 |
|      28 |       12150 |       26:07:58 |         0.53 |         0.62 |       0.1424 |       0.1934 |          0.0010 |
|      29 |       12200 |       26:14:23 |         0.62 |         0.59 |       0.1902 |       0.1717 |          0.0010 |
|      29 |       12250 |       26:20:46 |         0.55 |         0.64 |       0.1517 |       0.2070 |          0.0010 |
|      29 |       12300 |       26:27:10 |         0.55 |         0.59 |       0.1527 |       0.1733 |          0.0010 |
|      29 |       12350 |       26:33:28 |         0.51 |         0.66 |       0.1281 |       0.2203 |          0.0010 |
|      29 |       12400 |       26:39:53 |         0.50 |         0.56 |       0.1272 |       0.1559 |          0.0010 |
|      29 |       12450 |       26:46:14 |         0.48 |         0.57 |       0.1146 |       0.1641 |          0.0010 |
|      29 |       12500 |       26:52:35 |         0.51 |         0.60 |       0.1319 |       0.1782 |          0.0010 |
|      29 |       12550 |       26:59:01 |         0.50 |         0.59 |       0.1274 |       0.1717 |          0.0010 |
|      29 |       12600 |       27:05:26 |         0.76 |         0.64 |       0.2866 |       0.2052 |          0.0010 |
|      30 |       12650 |       27:11:49 |         0.47 |         0.59 |       0.1118 |       0.1763 |          0.0010 |
|      30 |       12700 |       27:18:09 |         0.52 |         0.63 |       0.1363 |       0.1992 |          0.0010 |
|      30 |       12750 |       27:24:34 |         0.55 |         0.58 |       0.1525 |       0.1670 |          0.0010 |
|      30 |       12800 |       27:30:54 |         0.50 |         0.64 |       0.1253 |       0.2027 |          0.0010 |
|      30 |       12850 |       27:37:15 |         0.52 |         0.58 |       0.1341 |       0.1709 |          0.0010 |
|      30 |       12900 |       27:43:39 |         0.53 |         0.57 |       0.1391 |       0.1631 |          0.0010 |
|      30 |       12950 |       27:50:01 |         0.56 |         0.58 |       0.1545 |       0.1693 |          0.0010 |
|      30 |       13000 |       27:56:21 |         0.50 |         0.63 |       0.1262 |       0.2009 |          0.0010 |
